"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12","test_score_match","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestScoreFilterMocked","test_score","",""
"Files already gone -> still 200 and DB deleted","11","test_delete_prediction_files_already_deleted","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestDeletePredictionEndpoint","test_delete","",""
"","9","test_invalid_type_400","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestGetImageEndpointMocked","test_image","",""
"","240","test_prediction_not_found","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestGetPredictionByUID","test_get_prediction_controller","",""
"","10","test_labels_endpoint_empty","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestLabelsEndpoint","test_labels","",""
"Happy path: paths found -> delete DB rows and both files","13","test_delete_prediction_success","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestDeletePredictionEndpoint","test_delete","",""
"","12","test_stats_with_no_predictions","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestStatsEndpointMocked","test_stats","",""
"GET /prediction/{uid} returns prediction when found for user.","10","test_get_prediction_valid","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestAuthWithMocks","test_auth","",""
"","11","test_get_prediction_image_not_found_by_uid","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestPredictionImageMocked","test_prediction_image","",""
"
        Covers: security(request) raises HTTPException => propagate.
        ","2","test_get_optional_username_http_exception","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestAuthWithMocks","test_auth","",""
"","13","test_stats_endpoint","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestStatsEndpointMocked","test_stats","",""
"","10","test_label_not_found","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestLabelFilterMocked","test_label_filter","",""
"Check response format and status","8","test_prediction_count_format","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestPredictionCountMocked","test_prediction_count","",""
"","19","test_predict_includes_processing_time","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestProcessingTimeMocked","test_prediction_time","",""
"","99","test_not_found_image_404","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestGetImageEndpointMocked","test_image","",""
"
        POST /predict with malformed Basic header. Remove override so HTTPBasic runs.
        ","14","test_predict_invalid_auth_header","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestAuthWithMocks","test_auth","",""
"","11","test_stats_zero_objects","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestStatsEndpointMocked","test_stats","",""
"","18","test_score_too_high","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestScoreFilterMocked","test_score","",""
"/predict with mocked YOLO returning one detection.","19","test_predict_with_detection","tests","Thu Aug 21 17:05:14 IDT 2025","passed","Thu Aug 21 17:05:14 IDT 2025","TestAuthWithMocks","test_auth","",""
"","8","test_labels_endpoint_success","tests","Thu Aug 21 17:05:15 IDT 2025","passed","Thu Aug 21 17:05:15 IDT 2025","TestLabelsEndpoint","test_labels","",""
